"T_sat (C)","P_sat (Mpa)"
6.96957022304,0.00100000001394
74.4852145712,0.0377716666739
91.59548161,0.0745433333301
102.630213086,0.11131500001
110.964566873,0.148086666673
117.739169746,0.184858333333
123.487243839,0.221630000001
128.503790779,0.258401666669
132.970188567,0.295173333335
137.006395271,0.331944999995
140.696119694,0.368716666664
144.10023129,0.405488333331
147.264460908,0.442259999999
150.224090065,0.479031666666
153.006944417,0.515803333329
155.635380398,0.552575
158.127647339,0.589346666666
160.498847643,0.626118333331
162.76162999,0.662890000002
164.926700328,0.699661666665
167.003205498,0.736433333332
168.99902595,0.773205000003
170.92100234,0.809976666667
172.775113245,0.846748333335
174.566616178,0.883520000001
176.300160687,0.920291666667
177.979879938,0.957063333335
179.609465551,0.993834999998
181.192229243,1.03060666666
182.731153986,1.06737833333
184.228936772,1.10415
185.688024581,1.14092166666
187.110644823,1.17769333333
188.498831239,1.214465
189.854446069,1.25123666666
191.179199104,1.28800833333
192.474664138,1.32478
193.742293251,1.36155166667
194.983429235,1.39832333333
196.19931647,1.435095
197.391110464,1.47186666667
198.559886252,1.50863833333
199.706645824,1.54541
200.832324699,1.58218166667
201.937797775,1.61895333333
203.02388454,1.655725
204.091353733,1.69249666667
205.140927517,1.72926833333
206.173285232,1.76604
207.189066767,1.80281166667
208.188875613,1.83958333333
209.173281615,1.876355
210.142823471,1.91312666666
211.098011,1.94989833333
212.039327203,1.98667
212.967230147,2.02344166667
213.882154677,2.06021333333
214.784513992,2.096985
215.674701079,2.13375666667
216.553090032,2.17052833333
217.42003727,2.2073
218.275882648,2.24407166667
219.120950487,2.28084333333
219.955550523,2.317615
220.779978784,2.35438666667
221.594518402,2.39115833333
222.399440364,2.42793
223.195004208,2.46470166667
223.981458673,2.50147333333
224.759042297,2.538245
225.527983981,2.57501666667
226.288503507,2.61178833333
227.040812029,2.64856
227.785112522,2.68533166667
228.521600209,2.72210333333
229.250462959,2.758875
229.971881656,2.79564666667
230.68603055,2.83241833333
231.39307758,2.86919
232.093184684,2.90596166667
232.786508085,2.94273333333
233.473198562,2.979505
234.153401703,3.01627666667
234.827258149,3.05304833333
235.494903817,3.08982
236.156470111,3.12659166667
236.812084129,3.16336333333
237.461868847,3.200135
238.105943301,3.23690666667
238.744422758,3.27367833333
239.377418874,3.31045
240.005039846,3.34722166667
240.627390559,3.38399333333
241.244572719,3.420765
241.856684985,3.45753666667
242.463823088,3.49430833334
243.066079955,3.53108
243.663545811,3.56785166667
244.256308292,3.60462333333
244.84445254,3.641395
245.428061299,3.67816666667
246.007215011,3.71493833333
246.581991895,3.75171
247.152468035,3.78848166667
247.718717455,3.82525333333
248.280812197,3.862025
248.838822391,3.89879666667
249.392816323,3.93556833333
249.9428605,3.97234
250.489019715,4.00911166667
251.031357104,4.04588333333
251.569934204,4.082655
252.104811006,4.11942666667
252.63604601,4.15619833334
253.163696274,4.19297
253.687817461,4.22974166667
254.208463885,4.26651333333
254.725688557,4.303285
255.239543224,4.34005666667
255.750078413,4.37682833333
256.257343466,4.4136
256.761386583,4.45037166667
257.262254852,4.48714333333
257.759994285,4.523915
258.254649855,4.56068666666
258.746265522,4.59745833333
259.234884267,4.63423
259.720548122,4.67100166667
260.203298197,4.70777333333
260.683174705,4.744545
261.160216995,4.78131666667
261.63446357,4.81808833333
262.105952114,4.85486
262.574719517,4.89163166667
263.040801898,4.92840333333
263.504234622,4.965175
263.965052328,5.00194666667
264.423288942,5.03871833333
264.878977704,5.07549
265.332151181,5.11226166667
265.782841287,5.14903333333
266.231079303,5.185805
266.676895891,5.22257666667
267.120321113,5.25934833333
267.561384444,5.29612
268.000114789,5.33289166667
268.4365405,5.36966333333
268.870689386,5.406435
269.302588731,5.44320666667
269.732265304,5.47997833333
270.159745374,5.51675
270.585054724,5.55352166667
271.00821866,5.59029333333
271.429262024,5.627065
271.848209209,5.66383666667
272.265084162,5.70060833333
272.679910405,5.73738
273.092711035,5.77415166667
273.503508745,5.81092333333
273.912325824,5.847695
274.319184171,5.88446666667
274.724105306,5.92123833333
275.127110376,5.95801
275.528220163,5.99478166667
275.927455096,6.03155333333
276.324835256,6.068325
276.720380386,6.10509666667
277.114109897,6.14186833333
277.506042877,6.17864
277.896198097,6.21541166667
278.284594021,6.25218333333
278.671248806,6.288955
279.056180319,6.32572666667
279.439406133,6.36249833333
279.820943541,6.39927
280.200809559,6.43604166667
280.57902093,6.47281333333
280.955594136,6.509585
281.330545396,6.54635666667
281.703890677,6.58312833333
282.075645698,6.6199
282.445825935,6.65667166667
282.814446624,6.69344333333
283.18152277,6.730215
283.547069148,6.76698666667
283.911100312,6.80375833333
284.273630594,6.84053
284.634674114,6.87730166667
284.994244779,6.91407333333
285.352356292,6.950845
285.709022154,6.98761666667
286.064255668,7.02438833333
286.418069942,7.06116
286.770477895,7.09793166667
287.121492259,7.13470333333
287.471125585,7.171475
287.819390241,7.20824666667
288.166298424,7.24501833333
288.511862154,7.28179
288.856093286,7.31856166667
289.199003506,7.35533333333
289.540604338,7.392105
289.880907148,7.42887666667
290.219923144,7.46564833333
290.55766338,7.50242
290.894138758,7.53919166667
291.229360036,7.57596333333
291.563337821,7.612735
291.896082582,7.64950666667
292.227604645,7.68627833333
292.5579142,7.72305
292.887021299,7.75982166667
293.214935866,7.79659333333
293.54166769,7.833365
293.867226435,7.87013666667
294.191621637,7.90690833333
294.51486271,7.94368
294.836958947,7.98045166667
295.157919519,8.01722333333
295.477753483,8.053995
295.796469778,8.09076666667
296.114077232,8.12753833333
296.43058456,8.16431
296.746000369,8.20108166667
297.060333157,8.23785333333
297.373591317,8.274625
297.685783139,8.31139666667
297.996916809,8.34816833333
298.307000413,8.38494
298.616041939,8.42171166667
298.924049277,8.45848333333
299.231030222,8.495255
299.536992473,8.53202666667
299.841943639,8.56879833333
300.145891237,8.60557
300.448842693,8.64234166667
300.750805348,8.67911333333
301.051786452,8.715885
301.351793174,8.75265666667
301.650832596,8.78942833333
301.94891172,8.8262
302.246037462,8.86297166667
302.542216664,8.89974333333
302.837456084,8.936515
303.131762405,8.97328666667
303.425142234,9.01005833333
303.717602101,9.04683
304.009148462,9.08360166667
304.299787701,9.12037333333
304.589526131,9.157145
304.878369993,9.19391666667
305.166325457,9.23068833333
305.453398626,9.26746
305.739595537,9.30423166667
306.024922157,9.34100333333
306.309384389,9.377775
306.592988071,9.41454666667
306.875738979,9.45131833333
307.157642823,9.48809
307.438705254,9.52486166667
307.718931862,9.56163333333
307.998328174,9.598405
308.27689966,9.63517666667
308.554651732,9.67194833333
308.831589745,9.70872
309.107718994,9.74549166667
309.383044722,9.78226333333
309.657572114,9.819035
309.931306302,9.85580666667
310.204252365,9.89257833333
310.476415329,9.92935
310.747800166,9.96612166667
311.018411799,10.0028933333
311.2882551,10.039665
311.557334889,10.0764366667
311.825655939,10.1132083333
312.093222975,10.14998
312.360040671,10.1867516667
312.626113656,10.2235233333
312.891446513,10.260295
313.156043776,10.2970666667
313.419909937,10.3338383333
313.683049441,10.37061
313.94546669,10.4073816667
314.207166043,10.4441533333
314.468151812,10.480925
314.728428273,10.5176966667
314.987999654,10.5544683333
315.246870146,10.59124
315.505043896,10.6280116667
315.762525014,10.6647833333
316.019317567,10.701555
316.275425585,10.7383266667
316.530853059,10.7750983333
316.78560394,10.81187
317.039682143,10.8486416667
317.293091546,10.8854133333
317.545835988,10.922185
317.797919275,10.9589566667
318.049345174,10.9957283333
318.300117418,11.0325
318.550239704,11.0692716667
318.799715698,11.1060433333
319.048549027,11.142815
319.296743286,11.1795866667
319.54430204,11.2163583333
319.791228815,11.25313
