Ubar_0*kappa_x,~G
502.062096324,0.0150983065881
519.318446562,0.0154172337729
549.416188122,0.0157496843848
571.526510661,0.0157615679907
591.185076009,0.015771761075
611.519829048,0.0157819607513
639.724995292,0.015795570581
658.010092225,0.015804082684
676.817827436,0.0158125993741
696.163139362,0.0158211206537
720.108780225,0.015831352251
749.088336594,0.0158432974778
783.619154617,0.0161814480886
801.486905144,0.0161884237521
833.741386112,0.0162006384
872.19609074,0.0162146092832
938.504040009,0.0162373376692
987.340084958,0.0162530913659
1004.22688835,0.0156128240459
1050.57095311,0.0153129328013
1074.52562495,0.0153195340564
1099.10825003,0.014422494826
1169.40994929,0.0144395991151
1182.7549693,0.0135911555088
1237.27657191,0.0138812376425
1258.46932294,0.0130670101887
1287.16440495,0.0130726432486
1316.61170638,0.0123071712835
1346.63252628,0.0123124767843
1400.99913526,0.011134885322
1432.94412141,0.0111396854618
1533.52040857,0.00948538324411
1577.35263261,0.00949049483907
1604.37039274,0.00893381382497
1650.35045292,0.00841159836933
1716.89370584,0.00792161531017
1816.71367045,0.0070225850728
1922.38481606,0.0061007442825
2057.31424172,0.00519475148487
2164.74442007,0.00451236054819
2226.61875959,0.00451479222215
2277.72798421,0.00399981826492
2342.83170422,0.00400197373406
2437.41713319,0.00361921645589
2507.08520756,0.00362116682185
2623.43503726,0.00290035369456
2760.70105651,0.00232327269334
2776.44301181,0.00223126979649
2921.28026504,0.00201830130268
3056.62486617,0.00171783234217
3109.1345801,0.00155286577877
3162.15432987,0.00155336782062
3252.85996571,0.00143323856787
3308.41267551,0.00140495179345
3403.22931797,0.0013228270083
3461.60751847,0.00122026356935
3461.69334471,0.00119579352537
3580.76380524,0.00119656685098
3601.1818884,0.00114918213506
3683.47715312,0.00110403069839
3767.65305336,0.00106065326443
3832.28249347,0.000978417079613
3897.82728599,0.000939873736239
3987.00042857,0.000884839189504
4032.19917377,0.0008850298917
4147.96467759,0.000800211287799
4195.50827186,0.000723287604839
4267.58284717,0.000653828980974
4365.32335947,0.000603200307226
4464.85960523,0.00060346034096
4567.34482479,0.000534627414764
4593.38854941,0.000513455870402
4671.95079004,0.000493229009759
4778.95254724,0.000455036253939
4888.40496725,0.000419800920672
4944.3128328,0.000387210552194
5000.8601072,0.000357150268967
5203.14316777,0.000303947769822
5352.26137453,0.000286180864644
5567.9301442,0.000275025688022
5695.31132151,0.000258921488599
5892.23316522,0.000224836454417
6061.40073646,0.000203288804616
6200.68627801,0.000176489350581
6307.52053954,0.000153206345422
6451.98177461,0.000141342946423
6599.26073403,0.000138568294586
6674.56988165,0.000130426282981
6826.76058401,0.000130482508471
6866.19854676,0.000117926620158
6985.01873092,9.63335922392E-05
7267.56032112,8.19833640468E-05
7602.95094854,8.04086269584E-05
7778.04560807,6.70367255803E-05
8001.15697419,6.18524597264E-05
8232.30093088,4.85312606224E-05
8279.85865221,4.3861262358E-05
8760.37965582,4.21652014877E-05
9166.02584248,3.66223663398E-05
9375.02566351,3.66381538826E-05
9644.90249206,3.11736727583E-05
9700.86127914,2.76089619607E-05
9868.98024012,2.21013363481E-05
10152.5729849,1.95824857824E-05
10622.6841762,1.70082661262E-05
11112.910408,1.66815712194E-05
11368.5569642,1.41920309232E-05
11435.3667617,1.18280815641E-05
11895.8586353,1.15996377618E-05
12101.1174686,9.86745664723E-06
12379.4971994,8.39484770527E-06
12520.1481396,8.22827813751E-06
12879.2855755,7.591946619E-06
13324.9318378,6.46032446233E-06
13402.5740894,5.60685065878E-06
13632.4787136,5.17213177137E-06
13944.0121155,4.96891839637E-06
14102.7881065,4.77266067461E-06
14507.3231888,4.40356833674E-06
14838.8487932,4.2305518663E-06
15091.8941439,4.23191960466E-06
15348.4935478,4.40831570902E-06
15697.2957533,4.68653876629E-06
15787.5870613,4.32224336467E-06
15968.1470396,3.98669502028E-06
16152.7743423,3.3229941024E-06
16339.9414657,2.71424270471E-06
16808.2320146,2.55558487743E-06
17687.2507831,2.08899299092E-06
18195.5075507,1.8509141212E-06
18713.729115,2.00821421074E-06
18928.2241778,1.81516615504E-06
19147.5512851,1.48263925313E-06
19698.2592935,1.28732241657E-06
20965.4850141,9.70594447502E-07
21567.9443661,8.5997749952E-07
21934.6525881,8.95823331892E-07
22312.0208494,7.93556888038E-07
22565.5211865,7.77811226833E-07
23215.1099461,6.61802795269E-07
23881.0297871,6.10622466818E-07
24154.7519809,5.51923808398E-07
24432.823071,4.79060740813E-07
