Ubar_0*kappa_x,~G
50.4323586715,0.0861953566475
53.3519966206,0.0879592514806
54.2634561444,0.0915960684217
59.3771593605,0.0953832554175
63.1689300031,0.0973351706707
64.6104851428,0.101359650094
69.5140384537,0.103433865806
70.3073799527,0.109914684711
73.5456340977,0.112163969963
75.2239922213,0.116801569979
77.3746266839,0.121630919039
80.0303670363,0.121630919039
80.4817693706,0.121630919039
81.8594112633,0.12925190423
84.6690835168,0.12925190423
86.1098791787,0.12925190423
87.5809706925,0.134596032416
90.0789446343,0.134596032416
92.1406823815,0.145956309564
96.924994999,0.145956309564
99.1401554327,0.155101442088
101.395906784,0.155101442088
105.474633731,0.161514361056
107.878073128,0.164819577926
109.721050025,0.171634308874
113.487021281,0.171634308874
115.418205619,0.171634308874
119.391536221,0.18238833866
122.108070383,0.18238833866
124.898774331,0.193816179861
129.918635987,0.197782418549
132.88346185,0.20596005124
145.401394755,0.210174801133
147.885415868,0.218864816845
154.69679984,0.223343648821
158.227079154,0.232578151754
160.919595475,0.232578151754
164.597312672,0.247150718205
171.207067811,0.247150718205
173.160999345,0.262636352765
190.535587124,0.262636352765
202.696327257,0.262636352765
208.511997255,0.290631784496
213.22113097,0.262636352765
228.109160726,0.262636352765
249.58934347,0.262636352765
256.665762194,0.237337612311
265.449066168,0.223343648821
271.462003279,0.210174801133
277.601987273,0.193816179861
283.918308395,0.193816179861
288.721110596,0.18238833866
296.94618351,0.178730805851
303.682609399,0.171634308874
326.719543402,0.171634308874
332.246377339,0.161514361056
343.63878084,0.158275425502
349.486408381,0.158275425502
353.405028286,0.148943147722
361.410338837,0.140161122189
373.802746068,0.137350394778
386.594569632,0.12925190423
406.668105333,0.12925190423
413.533718349,0.119191787896
418.170469367,0.112163969963
425.244300083,0.105550528102
430.012356118,0.0993270297603
444.757059462,0.0973351706707
454.84667548,0.0934704829853
467.804325383,0.0915960684217
473.096404052,0.0915960684217
478.479917475,0.0953832554175
486.573951332,0.0897592425154
494.804905009,0.0844668341594
503.175094661,0.079486478194
520.376974862,0.0732997746215
529.197202397,0.0703894110359
553.552983242,0.0703894110359
566.054686025,0.063609072283
575.668126648,0.0623334848713
588.688707947,0.0574818572448
601.983932579,0.0519448530488
605.279511046,0.0469412069754
615.579422862,0.0469412069754
625.992651314,0.0441734470314
643.783423117,0.0415688804862
647.265128074,0.0360732067352
673.257435827,0.0360732067352
688.530738104,0.0346409220135
700.062541687,0.0294583359827
715.943935999,0.0282886943463
732.185610529,0.0271654932677
744.522242742,0.0245487467425
757.191618304,0.0245487467425
774.317935654,0.0226380340952
787.390431942,0.020876038727
800.76286989,0.020457400139
818.847677852,0.0184868181878
832.699420812,0.0173967934916
875.907608599,0.0170479261054
880.702790161,0.0154057655542
885.524223083,0.0139217879549
915.646304734,0.0116015530174
947.01168044,0.0111409139825
968.527233459,0.0109174991594
990.433583663,0.0100677529814
1012.83541625,0.00928414544519
1035.81227569,0.00891551895259
1053.33422242,0.00838983975031
1095.59695554,0.00822159371892
1120.37739512,0.00758167905182
1139.25469025,0.00685136533659
1164.94572737,0.00606724038845
1197.89552024,0.0052651121292
1198.09312047,0.00582634093708
1225.07059385,0.00505606113697
1266.95167623,0.00466253066223
1310.30775768,0.0043876172879
1339.90036875,0.00396497514483
1393.66094207,0.0038854633362
1416.90907758,0.00317297226294
1465.34847863,0.00292600901484
1490.03820892,0.00264415792357
1506.69557301,0.00243835409827
1532.18304811,0.0022945832147
1549.26044714,0.00207355491992
1638.84234432,0.00203197279242
1656.94455757,0.00172797182487
1694.30988465,0.00153020893368
1732.63213766,0.00141110755579
1802.1502147,0.00138280984651
1832.27294263,0.00115234780183
1894.91225048,0.00106265664398
1937.8996221,0.00102046391942
1959.36977749,0.000885552016333
2014.85584527,0.000784202373631
2072.11824361,0.000737964024479
2118.84604483,0.000653505529859
2178.99197184,0.000602640966626
2227.54191093,0.000453828217766
2228.276865,0.000555735365751
2290.77329742,0.000418505220447
2382.37118418,0.000378192236964
2449.75512766,0.000328192787251
2519.21119022,0.000296579249916
2590.72195087,0.000273495475837
2649.23204259,0.000247150718205
2693.60249967,0.000210174801133
2769.88080741,0.000186120718926
2864.38481479,0.000164819577926
2945.49939144,0.000145956309564
2994.73306579,0.000121630919039
3062.46856051,0.000112163969963
3149.50421372,0.000105550528102
3275.2228531,9.15960684217E-05
3330.07766864,7.78924925038E-05
3424.15396339,6.62390918409E-05
3521.35258471,6.10834775095E-05
3560.13105611,5.09031745857E-05
3579.73918496,4.69412069754E-05
3681.96153706,4.79018080526E-05
3786.22851605,4.24195427069E-05
3849.51487839,3.53498110503E-05
3892.42078429,3.194470096E-05
3913.47174685,2.7721405733E-05
4001.85544653,2.50511103177E-05
4068.74598755,2.0876038727E-05
4277.89420243,1.54057655542E-05
4279.58799386,1.96451401733E-05
4399.03699559,1.36426067497E-05
4497.79338971,1.13689007486E-05
4573.57693697,1.02737786671E-05
4676.71448456,9.09796541405E-06
4755.35580767,8.05672161694E-06
4807.56499399,6.57933224658E-06
4888.89044238,6.19139990688E-06
4998.97363167,5.37285695956E-06
5111.70418982,4.75794431401E-06
5168.67819976,4.29963000591E-06
5285.75880363,4.04611407671E-06
5404.59998868,3.44077989176E-06
5525.74852871,2.80983198521E-06
5649.98546949,2.38945645393E-06
5809.98358742,2.11598798072E-06
5975.1038839,1.99122453401E-06
6040.5054484,1.59347788697E-06
6141.06660073,1.27518104207E-06
6458.01768327,1.06265664398E-06
6640.0216836,8.67793558868E-07
6827.15503751,7.08663202813E-07
