"d_0 (mm)","Ubar_0 (m/s)",x_b/d_0,"Ubar_0 trans. error","x_b/d_0 trans. error","regime x_b","regime turb",Re_l0,"photo filename","regime photo"
1.194,0.344086021505,31.8456110273,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.358422939068,35.0002049906,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.401433691756,35.9717858407,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.4229390681,37.9133821584,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.494623655914,40.9480504153,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.516129032258,44.952038414,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.530465949821,47.5000465888,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.58064516129,50.7768273669,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.781362007168,67.5234652106,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.860215053763,73.8338706572,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.881720430108,80.0215674947,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,0.960573476703,84.5122155756,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.01792114695,91.6713193319,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.12544802867,94.1002714572,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.25448028674,96.5297453768,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.27598566308,97.9860730636,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.39068100358,98.8380760701,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.41218637993,101.386258176,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.56989247312,94.9602753086,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.58422939068,100.783846742,0.00358422939068,0.0605716131517,Rayleigh,laminar,,,
1.194,1.64157706093,91.9290856799,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,1.65591397849,87.4406987073,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,1.67741935484,78.0997993577,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,1.84946236559,70.4609927756,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,1.94982078853,62.0925439332,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,1.97849462366,52.9944528304,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,2.02867383513,45.3526894144,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,2.13620071685,46.8111042781,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,2.17204301075,44.9922165695,0.00358422939068,0.0605716131517,Rayleigh,transitional,,,
1.194,2.18637992832,48.0254933751,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,2.55913978495,50.4608809626,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,2.91039426523,56.4139443295,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,3.0394265233,60.5418584571,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,3.28315412186,66.1283613798,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,3.34050179211,67.828193039,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,3.40501792115,72.5611275725,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,3.67741935484,73.5382742277,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.02150537634,75.4876974587,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.06451612903,78.1577185169,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.29390681004,82.773336315,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.56630824373,86.1768261245,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.6164874552,91.6373157414,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,4.83154121864,97.4657572539,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.03225806452,101.231459222,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.16845878136,104.38901002,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.36200716846,106.698732164,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.4982078853,106.823354019,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.64157706093,103.066000758,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
1.194,5.95698924731,100.647310586,0.00358422939068,0.0605716131517,R2S,turbulent,,,
1.194,6.03584229391,104.652690036,0.00358422939068,0.0605716131517,R2S,turbulent,,,
3.051,1.0394265233,39.3841461521,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,1.26164874552,44.1209071765,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,1.54838709677,50.8003081071,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,2.08602150538,67.0698520962,0.00358422939068,0.0605716131517,Rayleigh,turbulent,6310,mansour_effects_1994_fig_6_6a.png,Rayleigh
3.051,2.40143369176,75.2057546449,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,2.58781362007,82.0040376934,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,2.90322580645,93.5368206581,0.00358422939068,0.0605716131517,Rayleigh,turbulent,,,
3.051,3.33333333333,100.704968848,0.00358422939068,0.0605716131517,R2S,turbulent,,,
3.051,3.63440860215,111.266866688,0.00358422939068,0.0605716131517,R2S,turbulent,,,
3.051,4.17204301075,118.073672375,0.00358422939068,0.0605716131517,R2S,turbulent,,,
