r/d_0,\uprime/\Ubar
0,0
0.482108633665,0.271711541158
0.478819006217,0.306058056374
0.475850745571,0.331187771701
0.455779928014,0.30681881924
0.455090450147,0.266593044454
0.445946103866,0.228852895807
0.438718272332,0.196147104193
0.420972981816,0.16508203618
0.39032627495,0.144029589118
0.363775534053,0.125504838031
0.322260786238,0.116147805357
0.272349600337,0.107600617024
0.222204693124,0.105756555883
0.172176646567,0.100560931146
0.122119384846,0.0962031973075
0.0762749497499,0.0910215958491
0.0281342027766,0.0916982190436
-0.0303194970317,0.088150329547
-0.0764852989296,0.0921855279764
-0.124567615575,0.0911863693732
-0.185405272753,0.0960103772262
-0.22947926892,0.100052587295
