"citation key","U_0 (ft/s)",Re_l0,"page fig","x/d_0 1","photo filename 1","photo page fig 1","x/d_0 2","photo filename 2","photo page fig 2","regime photo","theta (deg.)"
hoyt_pipe-exit_1980,86,,"p. 42",0,hoyt_pipe-exit_1980_fig_1a.jpg,"p. 43, fig. 1a",8,hoyt_pipe-exit_1980_fig_2a.jpg,"p. 44, fig. 2a",atomization,4.2
hoyt_effect_1985,,250000,"p. 98",0,hoyt_effect_1985_fig_9.jpg,"p. 98, fig. 9",,,,S2A,2.9
